A B C k_max k_min L W
0.1 0.1 0.22999999999999995 4431471.08073619 1445868.7604591942 0.39854757930706564 0.006535298117630167
0.1 0.1 0.23999999999999994 5122208.674184094 1027908.5422754629 0.3909309351673276 0.006658605629283566
0.1 0.1 0.24999999999999992 4948151.869228896 656109.8423139866 0.37653789651319025 0.006781913140936964
0.1 0.1 0.2599999999999999 3854423.8463792293 396054.08166676864 0.35384374803081986 0.006905220652590363
0.1 0.1 0.2699999999999999 2487163.5642256485 230097.74574075837 0.32034629118982355 0.007028528164243763
0.1 0.1 0.2799999999999999 1352872.0110082114 126240.85193001837 0.2713360555625829 0.007151835675897162
0.1 0.1 0.2899999999999999 548092.0733914481 59840.40057451848 0.19516349334622202 0.007275143187550561
0.1 0.11 0.22999999999999995 3796723.3008591905 1756122.0200445936 0.42541524463185465 0.006781913140936966
0.1 0.11 0.23999999999999994 4699580.613391888 1359035.6604163712 0.4227019780529483 0.006905220652590364
0.1 0.11 0.24999999999999992 5201896.458145293 907009.9969662336 0.41392687253011173 0.007028528164243764
0.1 0.11 0.2599999999999999 4822498.576901824 561381.5437443967 0.3980543477425156 0.007151835675897162
0.1 0.11 0.2699999999999999 3673104.3484713393 335972.32489181735 0.37350173403253206 0.007275143187550561
0.1 0.11 0.2799999999999999 2364396.9402520442 195732.43115862532 0.33766230692981425 0.007398450699203961
0.1 0.11 0.2899999999999999 1296193.467435512 108262.96606652075 0.28561690059219197 0.007521758210857361
0.1 0.11 0.29999999999999993 530588.8022245235 51938.033305270736 0.20517187762038708 0.007645065722510759
0.1 0.12 0.23999999999999994 4065368.215262003 1742983.85672088 0.45043967078666947 0.007151835675897163
0.1 0.12 0.24999999999999992 4893472.419385229 1247919.601107852 0.4468563767988313 0.007275143187550561
0.1 0.12 0.2599999999999999 5232402.341200847 794082.5791030459 0.43692280989289567 0.007398450699203961
0.1 0.12 0.2699999999999999 4706159.027838835 482169.71069406613 0.4195707989718407 0.007521758210857361
0.1 0.12 0.2799999999999999 3531400.993390383 287721.1474401684 0.3931597200342444 0.007645065722510759
0.1 0.12 0.2899999999999999 2272121.9839914553 168397.48819879294 0.3549783226698045 0.007768373234164159
0.1 0.12 0.29999999999999993 1253882.7392675218 93896.1815523407 0.2998977456218017 0.007891680745817559
0.1 0.12 0.30999999999999994 517554.87559321173 45536.750754131106 0.21518026189455236 0.008014988257470958
0.1 0.13 0.23999999999999994 3413062.2211668026 2087669.9535544496 0.474012032947604 0.007398450699203962
0.1 0.13 0.24999999999999992 4281694.874934398 1683908.5015640568 0.4754640969414846 0.007521758210857361
0.1 0.13 0.2599999999999999 5034648.265447196 1127530.9794797378 0.4710107755447144 0.007645065722510759
0.1 0.13 0.2699999999999999 5236992.1030004695 693406.3241083806 0.4599187472556796 0.007768373234164159
0.1 0.13 0.2799999999999999 4605316.619304014 416466.30893243523 0.4410872502011661 0.007891680745817559
0.1 0.13 0.2899999999999999 3420778.548600698 248656.64415370303 0.4128177060359566 0.008014988257470958
0.1 0.13 0.29999999999999993 2202063.419938703 146341.71192865985 0.3722943384097951 0.008138295769124358
0.1 0.13 0.30999999999999994 1222029.0865396215 82230.93908952065 0.3141785906514112 0.008261603280777756
0.1 0.13 0.3199999999999999 507835.21990308043 40271.85158552023 0.22518864616871812 0.008384910792431156
0.1 0.13999999999999999 0.24999999999999992 3602448.9756258405 2136880.8098979373 0.4996343049988259 0.007768373234164159
0.1 0.13999999999999999 0.2599999999999999 4456647.027282505 1590659.990770752 0.5004885230962997 0.007891680745817559
0.1 0.13999999999999999 0.2699999999999999 5139074.166144787 1008539.5182165103 0.4951651742905969 0.008014988257470958
0.1 0.13999999999999999 0.2799999999999999 5229264.754095075 605977.3549264238 0.48291468461846365 0.008138295769124358
0.1 0.13999999999999999 0.2899999999999999 4520983.078428282 362030.0745577748 0.462603701430491 0.008261603280777756
0.1 0.13999999999999999 0.29999999999999993 3334460.0854345257 216736.59855632015 0.43247569203766856 0.008384910792431156
0.1 0.13999999999999999 0.30999999999999994 2148579.7459165053 128312.26469034723 0.38961035414978523 0.008508218304084556
0.1 0.13999999999999999 0.3199999999999999 1197989.2088867978 72627.5428446963 0.3284594356810212 0.008631525815737954
0.1 0.13999999999999999 0.32999999999999985 500630.66451446334 35884.93677493303 0.23519703044288365 0.008754833327391354
0.1 0.14999999999999997 0.2599999999999999 3761911.8932636753 2138776.429615426 0.5252565770500477 0.008138295769124356
0.1 0.14999999999999997 0.2699999999999999 4599231.818097603 1476442.773671051 0.5255129492511142 0.008261603280777756
0.1 0.14999999999999997 0.2799999999999999 5218103.499352104 897255.0061437815 0.5193195730364795 0.008384910792431154
0.1 0.14999999999999997 0.2899999999999999 5216918.429967734 531100.4440378967 0.5059106219812471 0.008508218304084554
0.1 0.14999999999999997 0.29999999999999993 4452090.464460134 316803.26645177393 0.48412015265981595 0.008631525815737954
0.1 0.14999999999999997 0.30999999999999994 3267237.1489200345 190405.5338648884 0.45213367803938065 0.008754833327391354
0.1 0.14999999999999997 0.3199999999999999 2107717.1639674553 113399.14031714418 0.4069263698897759 0.008878140839044753
0.1 0.14999999999999997 0.32999999999999985 1179915.2703972377 64625.37564141816 0.3427402807106309 0.009001448350698152
0.1 0.14999999999999997 0.33999999999999986 495371.0305969389 32188.213812366903 0.24520541471704874 0.00912475586235155
0.1 0.15999999999999998 0.2599999999999999 3107764.041836949 2515744.0261414726 0.5449874808429356 0.008384910792431156
0.1 0.15999999999999998 0.2699999999999999 3896594.5821397435 2096523.0220072998 0.5508788491012697 0.008508218304084556
0.1 0.15999999999999998 0.2799999999999999 4716574.492715107 1353014.4378025848 0.5505373754059293 0.008631525815737956
0.1 0.15999999999999998 0.2899999999999999 5279624.006840106 796657.6873393615 0.5434739717823622 0.008754833327391355
0.1 0.15999999999999998 0.29999999999999993 5204165.219071955 467374.9155249886 0.5289065593440311 0.008878140839044753
0.1 0.15999999999999998 0.30999999999999994 4396866.322368667 279041.99754055915 0.5056366038891413 0.009001448350698153
0.1 0.15999999999999998 0.3199999999999999 3215134.710531028 168481.8084308311 0.4717916640410933 0.009124755862351551
0.1 0.15999999999999998 0.32999999999999985 2076634.306994069 100931.24112031693 0.4242423856297668 0.00924806337400495
0.1 0.15999999999999998 0.33999999999999986 1166478.3537877141 57885.87616978772 0.35702112574024086 0.00937137088565835
0.1 0.15999999999999998 0.34999999999999987 491638.88715741097 29042.22706948633 0.25521379899121405 0.009494678397311749
0.1 0.16999999999999998 0.2699999999999999 3216551.2533801137 2622380.403111029 0.5709392656449802 0.008754833327391355
0.1 0.16999999999999998 0.2799999999999999 4010795.7896259795 2017595.2919754486 0.5765011211524913 0.008878140839044753
0.1 0.16999999999999998 0.2899999999999999 4814189.001420411 1229247.6549863026 0.5755618015607444 0.009001448350698153
0.1 0.16999999999999998 0.29999999999999993 5329049.906806334 707579.0106749964 0.567628370528245 0.009124755862351553
0.1 0.16999999999999998 0.30999999999999994 5193192.917006242 413224.8110248845 0.5519024967068151 0.009248063374004953
0.1 0.16999999999999998 0.3199999999999999 4353425.633923849 247323.0635494408 0.5271530551184667 0.009371370885658351
0.1 0.16999999999999998 0.32999999999999985 3175108.7017830596 150064.8195284627 0.49144965004280594 0.009494678397311749
0.1 0.16999999999999998 0.33999999999999986 2053243.0867525458 90406.36548582281 0.4415584013697573 0.009617985908965147
0.1 0.16999999999999998 0.34999999999999987 1156699.3913379426 52155.64458244624 0.37130197076985033 0.009741293420618547
0.1 0.16999999999999998 0.3599999999999999 489121.85954217945 26341.473462641377 0.26522218326537916 0.009864600932271947
0.1 0.17999999999999997 0.2699999999999999 2634361.350235267 2557123.217834515 0.5851273836241616 0.009001448350698152
0.1 0.17999999999999997 0.2799999999999999 3309801.610226214 2691907.788702045 0.5968910504470251 0.00912475586235155
0.1 0.17999999999999997 0.2899999999999999 4108046.338053333 1911821.57837781 0.6021233932037132 0.00924806337400495
0.1 0.17999999999999997 0.29999999999999993 4896294.619147988 1110949.9356541247 0.600586227715559 0.00937137088565835
0.1 0.17999999999999997 0.30999999999999994 5370076.127162813 629639.4423273262 0.5917827692741278 0.009494678397311749
0.1 0.17999999999999997 0.3199999999999999 5185028.299368563 367150.0416465545 0.5748984340695992 0.009617985908965147
0.1 0.17999999999999997 0.32999999999999985 4320009.116240941 220505.50100096353 0.5486695063477919 0.009741293420618547
