A B C k_max k_min L W
0.1 0.1 0.11 78956.60945481596 14646503.930725638 0.08892319372316229 0.005055607977789374
0.1 0.1 0.12 160509.27582344893 24236.186048180898 0.10470948161444002 0.005178915489442775
0.1 0.1 0.13 247498.42776545236 65479.95474720193 0.11971656656605986 0.005302223001096174
0.1 0.1 0.13999999999999999 343020.07343047357 105463.17098952958 0.13384304994254081 0.005425530512749572
0.1 0.1 0.14999999999999997 450427.09247028193 140498.09852989015 0.14698178733724857 0.005548838024402971
0.1 0.1 0.15999999999999998 573293.526178828 170418.9020157328 0.15901784847110118 0.005672145536056371
0.1 0.1 0.16999999999999998 715261.0314782219 195739.42393641814 0.16982599649451197 0.005795453047709771
0.1 0.1 0.17999999999999997 879633.0707161739 216939.51291044176 0.17926745923235762 0.00591876055936317
0.1 0.1 0.18999999999999995 1068492.5609528902 234274.43107275595 0.18718564973348842 0.006042068071016569
0.1 0.1 0.19999999999999996 1281003.3297581878 247724.5809405515 0.19340029755248705 0.006165375582669968
0.1 0.1 0.20999999999999996 1510499.0958947248 256987.8056367599 0.19769910647591243 0.006288683094323368
0.1 0.1 0.21999999999999995 1740242.7525624677 261491.7852560007 0.19982541510134733 0.006411990605976767
0.1 0.1 0.22999999999999995 1759764.4347188007 260428.66844001107 0.19945908378811084 0.006535298117630167
0.1 0.1 0.23999999999999994 1629720.3554645982 252823.1786708086 0.19618519312369642 0.006658605629283566
0.1 0.1 0.24999999999999992 1453456.3514608315 237644.78052835623 0.18943905579116135 0.006781913140936964
0.1 0.1 0.2599999999999999 1234034.0702497861 213959.9540040102 0.17840025852134156 0.006905220652590363
0.1 0.1 0.2699999999999999 975082.6908555868 181080.77614299054 0.16176029106180936 0.007028528164243763
0.1 0.1 0.2799999999999999 680502.8466427205 138562.51978977694 0.13710136465949374 0.007151835675897162
0.1 0.1 0.2899999999999999 354220.34691113734 85438.85837637824 0.09851743141115622 0.007275143187550561
0.1 0.11 0.1 68012.38379480502 172284.60151577526 0.08953827579328141 0.005178915489442775
0.1 0.11 0.11 136308.7721598876 22797.91599402151 2.7755575615628914e-17 0.005302223001096174
0.1 0.11 0.12 206983.24874972366 670.3798906796757 0.08892319372318415 0.005425530512749572
0.1 0.11 0.13 282394.95432211057 30936.061605157232 0.10470948161444016 0.005548838024402972
